                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4065,                 4.3332,                 3.2158,                 0.3211,                0.02586,                0.01451,                0.00479,                 3.3457,                 2.8966,                 1.9881,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.9143,                 2.5956,                 1.6752,                0.36201,                0.07972,                0.04731,                 0.0162,                 2.7673,                 2.3423,                 1.4247,              0.0066365,              0.0066365,              0.0066365
                      3,                 2.4422,                 2.1792,                  1.387,                0.31423,                0.10475,                0.07706,                0.03496,                 2.2085,                 1.8643,                 1.2624,              0.0099258,              0.0099258,              0.0099258
                      4,                 2.2098,                 1.9485,                 1.2779,                0.14759,                0.13826,                0.10053,                0.04867,                 1.9953,                 1.6844,                 1.1649,               0.009901,               0.009901,               0.009901
                      5,                 2.0462,                 1.7743,                 1.2107,                0.28516,                0.14921,                0.12133,                0.06193,                 1.8725,                  1.542,                 1.1319,               0.009901,               0.009901,               0.009901
                      6,                 1.9477,                 1.6706,                  1.167,                 0.1983,                0.16671,                0.13213,                0.06771,                 1.8278,                 1.4651,                 1.1098,               0.009868,               0.009868,               0.009868
                      7,                 1.8808,                 1.5927,                 1.1476,                0.22254,                0.18493,                 0.1493,                0.07713,                  1.764,                 1.4091,                 1.0944,               0.009835,               0.009835,               0.009835
                      8,                 1.8306,                  1.534,                 1.1269,                0.23694,                0.18728,                0.16006,                0.08172,                 1.7309,                 1.3738,                 1.0803,               0.009802,               0.009802,               0.009802
                      9,                 1.7831,                 1.4906,                 1.1138,                0.25373,                0.20226,                 0.1701,                0.09032,                 1.6783,                 1.3229,                 1.0689,               0.009769,               0.009769,               0.009769
                     10,                 1.7505,                  1.447,                  1.102,                0.25702,                0.21798,                0.17954,                0.09668,                 1.6473,                 1.3039,                 1.0582,               0.009736,               0.009736,               0.009736
                     11,                 1.7336,                  1.427,                 1.0999,                0.27592,                0.21938,                0.18574,                0.09924,                 1.6239,                 1.2624,                 1.0463,               0.009703,               0.009703,               0.009703
                     12,                 1.6929,                 1.3887,                 1.0903,                0.29071,                0.21864,                0.19286,                0.10449,                 1.5993,                 1.2537,                 1.0381,                0.00967,                0.00967,                0.00967
                     13,                 1.6888,                 1.3779,                 1.0812,                0.29354,                0.22412,                0.20059,                0.10776,                 1.5796,                 1.2335,                 1.0341,               0.009637,               0.009637,               0.009637
                     14,                 1.6761,                 1.3553,                 1.0759,                0.30236,                0.22278,                0.20535,                0.11088,                 1.5653,                 1.2269,                 1.0317,               0.009604,               0.009604,               0.009604
                     15,                  1.653,                 1.3326,                 1.0693,                0.29899,                0.22963,                0.20428,                0.10921,                 1.5677,                 1.2359,                 1.0323,               0.009571,               0.009571,               0.009571
                     16,                 1.6399,                 1.3162,                 1.0684,                0.30082,                0.24208,                0.21884,                0.11826,                 1.5388,                 1.1914,                 1.0223,               0.009538,               0.009538,               0.009538
                     17,                 1.6318,                 1.3034,                 1.0649,                0.33178,                0.23856,                0.22242,                0.12072,                 1.5385,                  1.189,                 1.0197,               0.009505,               0.009505,               0.009505
                     18,                 1.6219,                 1.2976,                 1.0574,                0.31732,                 0.2472,                0.22239,                0.12201,                 1.5236,                 1.1825,                 1.0179,               0.009472,               0.009472,               0.009472
                     19,                 1.6058,                 1.2729,                 1.0519,                0.31976,                0.24757,                 0.2272,                0.12314,                 1.5101,                 1.1565,                 1.0135,               0.009439,               0.009439,               0.009439
                     20,                 1.5918,                  1.255,                 1.0526,                0.32093,                0.24745,                0.22957,                0.12531,                 1.5034,                 1.1487,                 1.0113,               0.009406,               0.009406,               0.009406
                     21,                 1.5876,                 1.2544,                  1.048,                0.32355,                0.25404,                0.22931,                0.12667,                 1.4934,                 1.1528,                 1.0088,               0.009373,               0.009373,               0.009373
                     22,                 1.5801,                 1.2439,                 1.0452,                0.32341,                0.25261,                 0.2344,                0.12843,                 1.4869,                 1.1416,                 1.0068,                0.00934,                0.00934,                0.00934
                     23,                 1.5646,                 1.2281,                 1.0411,                0.34146,                0.25827,                0.24214,                0.13385,                 1.4736,                 1.1236,                  1.003,               0.009307,               0.009307,               0.009307
                     24,                 1.5613,                 1.2243,                 1.0402,                0.33257,                 0.2602,                0.24202,                0.13235,                 1.4734,                 1.1182,                 1.0046,               0.009274,               0.009274,               0.009274
                     25,                 1.5521,                 1.2117,                 1.0373,                0.34078,                0.24884,                0.23567,                0.12926,                 1.4747,                 1.1323,                 1.0014,               0.009241,               0.009241,               0.009241
                     26,                 1.5505,                 1.2088,                 1.0368,                0.33415,                0.25613,                0.24055,                0.13355,                 1.4719,                 1.1077,                 0.9982,               0.009208,               0.009208,               0.009208
                     27,                 1.5353,                 1.1976,                 1.0338,                 0.3407,                0.26476,                0.24928,                0.13808,                 1.4611,                 1.1127,                 0.9952,               0.009175,               0.009175,               0.009175
                     28,                  1.536,                 1.1912,                 1.0329,                0.34929,                0.26331,                0.24524,                0.13585,                 1.4577,                 1.0948,                0.99655,               0.009142,               0.009142,               0.009142
                     29,                 1.5288,                 1.1847,                  1.031,                0.35024,                0.26471,                0.24976,                0.13768,                 1.4444,                 1.1031,                0.99515,               0.009109,               0.009109,               0.009109
                     30,                 1.5252,                 1.1749,                 1.0261,                0.36107,                0.26439,                0.25189,                0.13986,                 1.4351,                  1.092,                0.99058,               0.009076,               0.009076,               0.009076
                     31,                  1.524,                 1.1779,                 1.0287,                0.34221,                0.27311,                0.25197,                0.13959,                  1.435,                 1.0928,                0.98958,               0.009043,               0.009043,               0.009043
                     32,                 1.5182,                 1.1689,                 1.0233,                 0.3644,                0.26627,                 0.2567,                 0.1419,                 1.4331,                  1.082,                0.99122,                0.00901,                0.00901,                0.00901
                     33,                 1.5169,                 1.1691,                 1.0286,                0.35368,                0.27627,                0.25962,                0.14323,                 1.4295,                 1.0794,                0.98901,               0.008977,               0.008977,               0.008977
                     34,                 1.5086,                 1.1513,                 1.0215,                0.35542,                0.27328,                0.25847,                0.14404,                 1.4229,                  1.079,                0.98567,               0.008944,               0.008944,               0.008944
                     35,                 1.4997,                 1.1538,                 1.0217,                 0.3626,                0.28047,                0.26085,                  0.146,                 1.4202,                 1.0734,                0.98566,               0.008911,               0.008911,               0.008911
                     36,                  1.506,                   1.15,                 1.0208,                0.37366,                 0.2795,                0.26281,                0.14607,                 1.4202,                 1.0677,                0.98649,               0.008878,               0.008878,               0.008878
                     37,                 1.4954,                 1.1402,                 1.0165,                0.35899,                0.27451,                0.26085,                0.14526,                  1.411,                 1.0622,                0.98332,               0.008845,               0.008845,               0.008845
                     38,                 1.4857,                  1.135,                 1.0146,                0.36448,                0.28335,                0.26603,                0.14749,                 1.4167,                 1.0624,                 0.9833,               0.008812,               0.008812,               0.008812
                     39,                 1.4877,                  1.135,                 1.0193,                0.37035,                0.28168,                0.26783,                0.14985,                 1.4095,                   1.06,                0.98265,               0.008779,               0.008779,               0.008779
                     40,                 1.4814,                 1.1291,                 1.0147,                0.37863,                0.28227,                0.27151,                0.15192,                 1.3993,                  1.049,                0.97998,               0.008746,               0.008746,               0.008746
                     41,                 1.4874,                 1.1294,                 1.0163,                0.37693,                0.28279,                0.26849,                0.14894,                 1.4014,                 1.0467,                0.97978,               0.008713,               0.008713,               0.008713
                     42,                 1.4777,                 1.1154,                 1.0129,                0.37395,                0.28079,                0.26763,                0.14915,                 1.3964,                 1.0497,                0.98014,                0.00868,                0.00868,                0.00868
                     43,                 1.4792,                 1.1176,                 1.0133,                0.38402,                0.29001,                0.27524,                0.15347,                 1.3932,                 1.0417,                0.97993,               0.008647,               0.008647,               0.008647
                     44,                 1.4837,                 1.1248,                 1.0109,                0.37385,                0.28626,                0.27083,                0.15138,                  1.398,                 1.0444,                0.97793,               0.008614,               0.008614,               0.008614
                     45,                 1.4798,                 1.1157,                  1.014,                0.38366,                0.28634,                0.27527,                0.15396,                 1.3858,                 1.0402,                0.97727,               0.008581,               0.008581,               0.008581
                     46,                  1.469,                  1.107,                 1.0096,                0.37724,                0.28758,                0.27517,                0.15472,                 1.3824,                 1.0373,                0.97392,               0.008548,               0.008548,               0.008548
                     47,                 1.4718,                 1.1106,                  1.011,                 0.3837,                 0.2873,                0.27696,                0.15512,                  1.381,                 1.0355,                0.97354,               0.008515,               0.008515,               0.008515
                     48,                 1.4598,                 1.1071,                 1.0109,                0.37946,                0.28879,                0.27743,                0.15566,                 1.3782,                 1.0328,                0.97418,               0.008482,               0.008482,               0.008482
                     49,                 1.4549,                 1.0994,                 1.0058,                0.38711,                0.29097,                0.28063,                0.15781,                 1.3773,                 1.0344,                0.97308,               0.008449,               0.008449,               0.008449
                     50,                 1.4539,                 1.0948,                 1.0054,                0.40168,                0.28451,                0.28009,                 0.1579,                 1.3778,                 1.0291,                0.97193,               0.008416,               0.008416,               0.008416
                     51,                 1.4534,                 1.0926,                 1.0038,                0.39642,                0.28854,                0.28041,                0.15718,                 1.3737,                 1.0285,                0.97095,               0.008383,               0.008383,               0.008383
                     52,                 1.4493,                 1.0868,                 1.0031,                0.39265,                0.29236,                0.28306,                0.15944,                 1.3716,                 1.0167,                0.96975,                0.00835,                0.00835,                0.00835
                     53,                 1.4548,                 1.0937,                 1.0044,                0.39182,                0.28999,                0.28244,                0.15858,                 1.3726,                 1.0202,                0.97201,               0.008317,               0.008317,               0.008317
                     54,                 1.4498,                 1.0784,                 1.0023,                0.39387,                0.29279,                0.28234,                0.15863,                 1.3684,                 1.0216,                0.97134,               0.008284,               0.008284,               0.008284
                     55,                 1.4409,                 1.0819,                 1.0017,                0.39003,                0.29638,                0.28482,                0.16056,                 1.3655,                  1.016,                0.96918,               0.008251,               0.008251,               0.008251
                     56,                 1.4358,                 1.0775,                 1.0009,                0.40048,                0.29168,                0.28261,                0.15937,                 1.3666,                 1.0142,                0.97059,               0.008218,               0.008218,               0.008218
                     57,                 1.4413,                 1.0736,                 1.0028,                0.39198,                0.29594,                0.28562,                0.16114,                 1.3681,                 1.0136,                0.97041,               0.008185,               0.008185,               0.008185
                     58,                 1.4363,                 1.0766,                 1.0019,                0.39522,                0.29427,                0.28552,                0.16087,                 1.3654,                 1.0119,                0.96885,               0.008152,               0.008152,               0.008152
                     59,                 1.4426,                 1.0733,                0.99937,                0.40863,                0.29439,                0.29016,                0.16353,                 1.3634,                 1.0082,                0.96781,               0.008119,               0.008119,               0.008119
                     60,                 1.4398,                 1.0742,                 1.0016,                0.41262,                0.29602,                0.29005,                0.16379,                 1.3581,                 1.0056,                 0.9671,               0.008086,               0.008086,               0.008086
                     61,                 1.4307,                 1.0646,                 1.0009,                0.41048,                0.29463,                0.28981,                0.16437,                 1.3591,                 1.0041,                0.96722,               0.008053,               0.008053,               0.008053
                     62,                 1.4278,                 1.0641,                0.99771,                0.39689,                 0.3002,                0.29062,                0.16429,                 1.3585,                0.99657,                0.96757,                0.00802,                0.00802,                0.00802
                     63,                 1.4329,                 1.0642,                 0.9989,                0.42048,                0.29439,                0.28895,                0.16338,                 1.3558,                 1.0032,                0.96692,               0.007987,               0.007987,               0.007987
                     64,                 1.4321,                 1.0655,                0.99685,                0.40875,                 0.2975,                0.28918,                0.16419,                 1.3521,                 1.0014,                0.96541,               0.007954,               0.007954,               0.007954
                     65,                 1.4289,                 1.0583,                0.99777,                  0.413,                0.29628,                0.29381,                0.16693,                 1.3507,                0.99796,                 0.9653,               0.007921,               0.007921,               0.007921
                     66,                 1.4253,                 1.0612,                0.99822,                0.41253,                0.29445,                0.29373,                0.16609,                 1.3503,                0.99771,                0.96544,               0.007888,               0.007888,               0.007888
                     67,                 1.4207,                 1.0498,                0.99625,                0.41282,                0.29408,                 0.2934,                0.16625,                 1.3517,                 1.0009,                0.96506,               0.007855,               0.007855,               0.007855
                     68,                 1.4288,                 1.0569,                0.99461,                0.39765,                0.30108,                0.29337,                0.16644,                 1.3486,                0.99459,                0.96411,               0.007822,               0.007822,               0.007822
                     69,                 1.4187,                 1.0546,                0.99774,                0.40336,                0.30405,                0.29595,                0.16739,                 1.3444,                0.99002,                0.96301,               0.007789,               0.007789,               0.007789
                     70,                 1.4206,                 1.0558,                0.99251,                0.40762,                0.29904,                0.29505,                0.16735,                 1.3471,                0.99292,                0.96296,               0.007756,               0.007756,               0.007756
                     71,                 1.4236,                 1.0487,                0.99482,                0.40984,                 0.3023,                0.29669,                0.16815,                 1.3445,                0.99179,                0.96363,               0.007723,               0.007723,               0.007723
