                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4033,                 4.3313,                 3.2085,                0.44276,                0.02032,                 0.0191,                0.00623,                 3.3354,                 2.8567,                  1.971,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.9165,                 2.5945,                 1.6995,                0.26165,                0.07546,                0.03888,                0.01308,                 3.0251,                 2.4512,                 1.5182,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.4365,                 2.1879,                 1.3959,                0.21294,                0.12376,                0.08046,                0.03723,                 2.1438,                 1.8676,                 1.2382,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.1949,                 1.9552,                 1.2758,                 0.1518,                0.13321,                0.09748,                0.04666,                 2.0366,                 1.7001,                 1.1832,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0396,                 1.7768,                 1.2094,                0.17864,                0.16357,                0.11783,                0.05825,                 1.8641,                 1.5726,                 1.1325,              0.0098515,              0.0098515,              0.0098515
                      6,                  1.954,                 1.6759,                 1.1709,                0.21115,                0.16689,                0.13322,                0.06773,                 1.8204,                 1.4643,                  1.106,               0.009802,               0.009802,               0.009802
                      7,                 1.8875,                 1.6023,                 1.1514,                0.23129,                0.19234,                0.15588,                0.07964,                 1.7475,                 1.4188,                 1.0896,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.8379,                 1.5426,                 1.1303,                0.22666,                0.19024,                0.15389,                0.07715,                 1.7505,                 1.3747,                 1.0789,               0.009703,               0.009703,               0.009703
                      9,                 1.7892,                 1.4953,                 1.1177,                0.22499,                0.20768,                0.16606,                0.08812,                 1.6783,                 1.3396,                  1.069,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.7594,                 1.4535,                  1.106,                0.25656,                0.21762,                0.17844,                0.09504,                 1.6628,                 1.3056,                 1.0659,               0.009604,               0.009604,               0.009604
                     11,                 1.7445,                 1.4337,                 1.1045,                0.26578,                0.21674,                0.18167,                0.09773,                 1.6224,                 1.2699,                 1.0475,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7001,                 1.3901,                 1.0929,                0.27993,                0.21604,                0.18839,                0.10178,                 1.6153,                 1.2572,                 1.0442,               0.009505,               0.009505,               0.009505
                     13,                 1.6946,                  1.378,                 1.0845,                0.29146,                0.22895,                0.19878,                0.10678,                 1.6032,                  1.239,                 1.0396,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.6801,                 1.3552,                 1.0781,                0.31163,                0.22813,                0.20244,                0.10858,                 1.5845,                 1.2231,                 1.0336,               0.009406,               0.009406,               0.009406
                     15,                 1.6598,                 1.3288,                  1.072,                0.30412,                0.23191,                0.21034,                0.11383,                 1.5609,                 1.1957,                 1.0297,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6425,                 1.3141,                 1.0696,                0.31846,                0.23212,                0.21313,                0.11564,                 1.5552,                 1.1898,                 1.0276,               0.009307,               0.009307,               0.009307
                     17,                 1.6332,                 1.2988,                 1.0663,                0.32975,                0.23601,                0.21794,                0.11833,                 1.5405,                 1.1779,                   1.02,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6248,                 1.2884,                 1.0596,                0.31695,                0.24536,                0.22017,                0.12023,                 1.5351,                  1.171,                  1.018,               0.009208,               0.009208,               0.009208
                     19,                 1.6107,                 1.2681,                 1.0544,                0.33493,                0.24185,                0.23025,                0.12656,                 1.5164,                 1.1388,                 1.0144,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.5936,                 1.2501,                 1.0542,                0.33675,                0.25254,                0.23175,                0.12705,                  1.501,                 1.1401,                  1.009,               0.009109,               0.009109,               0.009109
                     21,                 1.5883,                 1.2489,                  1.049,                0.32709,                0.25084,                0.23126,                0.12796,                 1.5059,                 1.1456,                 1.0086,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.5799,                 1.2393,                 1.0468,                0.36124,                0.24921,                0.23658,                0.12956,                  1.501,                 1.1318,                 1.0082,                0.00901,                0.00901,                0.00901
                     23,                 1.5661,                  1.223,                 1.0421,                0.31824,                0.25887,                0.23754,                0.12953,                 1.4851,                 1.1211,                 1.0052,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.5631,                 1.2195,                 1.0408,                0.33844,                0.24459,                0.23861,                0.13192,                 1.4927,                 1.1218,                 1.0069,               0.008911,               0.008911,               0.008911
                     25,                 1.5516,                 1.2067,                 1.0385,                0.33135,                0.26138,                0.23867,                0.13202,                 1.4705,                 1.1127,                0.99851,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.5505,                 1.2021,                 1.0369,                0.34507,                0.25293,                0.23933,                0.13309,                 1.4829,                 1.1073,                0.99996,               0.008812,               0.008812,               0.008812
                     27,                 1.5363,                 1.1904,                 1.0345,                0.33067,                 0.2682,                0.24716,                0.13634,                 1.4621,                 1.0956,                0.99503,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5373,                  1.186,                 1.0336,                0.34564,                0.25952,                 0.2447,                 0.1349,                 1.4594,                 1.0848,                0.99479,               0.008713,               0.008713,               0.008713
