                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3246,                 4.1833,                 3.0494,                0.41869,                0.02328,                0.01629,                0.00443,                  3.369,                 3.1765,                 1.9314,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.9175,                 2.5847,                 1.6615,                0.35623,                0.08811,                0.04593,                0.01623,                 2.6685,                 2.2869,                 1.4176,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.4896,                 2.2272,                 1.4101,                0.30049,                0.11336,                0.07618,                 0.0339,                 2.2937,                 1.9155,                 1.2742,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.2355,                 1.9776,                 1.2897,                0.12047,                 0.1262,                0.09527,                0.04379,                 2.1802,                 1.7627,                 1.2129,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0707,                 1.7985,                 1.2193,                0.15631,                0.15022,                0.11763,                0.05839,                 1.9069,                 1.5887,                 1.1369,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.9788,                 1.6951,                 1.1781,                0.21024,                0.16496,                0.13528,                0.06938,                 1.8296,                 1.4862,                 1.1103,               0.009802,               0.009802,               0.009802
                      7,                 1.9129,                 1.6235,                 1.1586,                0.22474,                0.18486,                0.15091,                0.07705,                 1.7938,                 1.4386,                 1.1007,              0.0097525,              0.0097525,              0.0097525
                      8,                  1.862,                 1.5618,                 1.1374,                 0.2221,                0.19555,                0.15662,                0.07924,                 1.7737,                 1.4103,                 1.0896,               0.009703,               0.009703,               0.009703
                      9,                 1.8184,                 1.5215,                 1.1251,                0.23772,                0.20924,                0.17037,                0.09015,                 1.7095,                 1.3633,                 1.0774,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.7847,                 1.4782,                 1.1124,                0.25011,                0.21634,                0.17589,                0.09412,                 1.6673,                 1.3388,                 1.0644,               0.009604,               0.009604,               0.009604
                     11,                 1.7696,                 1.4581,                 1.1103,                0.26287,                0.20648,                0.17907,                0.09437,                 1.6549,                 1.2973,                 1.0546,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7264,                  1.419,                 1.0998,                0.28538,                0.20974,                0.18727,                0.10085,                 1.6411,                 1.2906,                 1.0487,               0.009505,               0.009505,               0.009505
                     13,                 1.7223,                  1.405,                 1.0913,                0.28368,                0.21718,                0.19279,                0.10203,                   1.62,                 1.2685,                 1.0459,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.7093,                 1.3852,                 1.0852,                0.31532,                0.22183,                  0.204,                0.10837,                 1.5936,                 1.2466,                 1.0351,               0.009406,               0.009406,               0.009406
                     15,                 1.6886,                  1.364,                 1.0799,                0.29976,                0.22158,                 0.2069,                0.11088,                 1.5876,                 1.2286,                 1.0368,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6757,                 1.3502,                 1.0779,                0.32714,                 0.2288,                0.21078,                0.11403,                 1.5716,                 1.2252,                 1.0301,               0.009307,               0.009307,               0.009307
                     17,                 1.6644,                 1.3353,                 1.0735,                0.31816,                0.23796,                0.21426,                0.11453,                 1.5652,                 1.2135,                 1.0283,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6568,                 1.3272,                 1.0677,                0.30975,                0.23409,                0.20994,                0.11417,                 1.5639,                 1.2288,                 1.0273,               0.009208,               0.009208,               0.009208
                     19,                 1.6433,                 1.3068,                 1.0621,                0.30837,                0.23325,                0.22195,                 0.1214,                 1.5335,                 1.1861,                 1.0207,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.6268,                 1.2898,                 1.0628,                0.33782,                0.23127,                0.22195,                0.12066,                 1.5296,                 1.1714,                 1.0145,               0.009109,               0.009109,               0.009109
                     21,                 1.6242,                 1.2874,                  1.058,                0.32811,                0.24568,                0.22736,                0.12342,                 1.5292,                 1.1774,                 1.0166,              0.0090595,              0.0090595,              0.0090595
                     22,                  1.615,                 1.2785,                 1.0549,                0.32926,                0.24478,                0.23079,                0.12433,                 1.5268,                 1.1655,                 1.0153,                0.00901,                0.00901,                0.00901
                     23,                 1.6018,                 1.2639,                 1.0506,                0.33386,                0.24635,                0.23494,                0.12871,                 1.5014,                 1.1538,                 1.0102,              0.0089605,              0.0089605,              0.0089605
                     24,                  1.597,                 1.2585,                 1.0493,                0.33948,                0.24544,                0.23656,                0.13017,                 1.4982,                 1.1587,                  1.007,               0.008911,               0.008911,               0.008911
                     25,                 1.5881,                 1.2466,                 1.0477,                0.33891,                0.25459,                0.23892,                 0.1302,                 1.4903,                 1.1433,                 1.0025,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.5877,                 1.2439,                 1.0471,                0.33721,                0.24952,                0.23715,                0.13007,                 1.4983,                 1.1353,                 1.0038,               0.008812,               0.008812,               0.008812
                     27,                 1.5733,                 1.2343,                 1.0444,                0.32851,                0.26375,                0.24548,                0.13282,                  1.498,                 1.1485,                 1.0054,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5736,                 1.2289,                 1.0424,                0.36343,                0.25627,                 0.2425,                0.13298,                 1.4822,                 1.1266,                 1.0032,               0.008713,               0.008713,               0.008713
                     29,                 1.5701,                 1.2239,                 1.0428,                0.34187,                0.26074,                0.24559,                0.13518,                  1.484,                 1.1265,                  1.001,              0.0086635,              0.0086635,              0.0086635
                     30,                  1.563,                 1.2097,                 1.0362,                0.35645,                0.26143,                0.25151,                0.13821,                 1.4654,                 1.1166,                0.99805,               0.008614,               0.008614,               0.008614
                     31,                  1.563,                 1.2149,                 1.0388,                0.35592,                0.26261,                0.25015,                0.13837,                 1.4692,                 1.1171,                0.99803,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.5572,                 1.2045,                 1.0337,                0.37141,                0.25635,                0.25295,                0.13982,                 1.4585,                 1.1116,                0.99698,               0.008515,               0.008515,               0.008515
                     33,                 1.5561,                 1.2093,                 1.0395,                0.35814,                0.26921,                0.25356,                0.14082,                 1.4554,                   1.11,                0.99349,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.5487,                 1.1894,                 1.0325,                0.35579,                0.26211,                0.25501,                0.14154,                 1.4466,                 1.0997,                0.99319,               0.008416,               0.008416,               0.008416
                     35,                 1.5374,                 1.1906,                 1.0319,                0.35904,                0.27011,                0.25921,                0.14352,                 1.4497,                  1.099,                0.99356,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.5456,                 1.1849,                 1.0314,                0.35843,                 0.2763,                0.25947,                0.14258,                 1.4542,                 1.0968,                0.99274,               0.008317,               0.008317,               0.008317
                     37,                 1.5358,                 1.1804,                 1.0272,                0.35451,                0.27855,                0.26297,                0.14525,                 1.4441,                 1.0885,                0.99031,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.5247,                 1.1712,                 1.0253,                0.36279,                0.27305,                0.26355,                 0.1454,                 1.4401,                 1.0899,                0.98945,               0.008218,               0.008218,               0.008218
                     39,                 1.5268,                 1.1722,                   1.03,                0.35881,                0.28068,                0.26343,                0.14617,                 1.4383,                 1.0872,                0.98742,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.5199,                 1.1662,                 1.0258,                0.38586,                0.27501,                0.26906,                0.14814,                  1.428,                 1.0755,                0.98648,               0.008119,               0.008119,               0.008119
                     41,                 1.5287,                 1.1691,                 1.0275,                0.37969,                0.26935,                0.26488,                0.14646,                 1.4333,                 1.0772,                0.98588,              0.0080695,              0.0080695,              0.0080695
                     42,                   1.52,                 1.1547,                  1.024,                0.36488,                0.28143,                0.26861,                0.14885,                 1.4274,                 1.0751,                0.98571,                0.00802,                0.00802,                0.00802
                     43,                 1.5183,                 1.1567,                 1.0239,                0.36284,                0.28606,                0.27035,                0.14979,                  1.422,                 1.0721,                0.98427,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.5217,                 1.1601,                 1.0206,                0.36793,                0.28267,                0.27077,                0.15095,                 1.4228,                 1.0678,                0.98302,               0.007921,               0.007921,               0.007921
                     45,                 1.5183,                 1.1536,                 1.0244,                0.36779,                0.28329,                0.27362,                 0.1522,                  1.419,                 1.0677,                0.98297,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.5092,                 1.1454,                 1.0203,                0.37717,                0.28004,                0.27196,                0.15157,                 1.4142,                 1.0668,                0.98045,               0.007822,               0.007822,               0.007822
                     47,                 1.5121,                 1.1485,                 1.0223,                0.37896,                0.28313,                0.27476,                0.15255,                 1.4142,                 1.0613,                0.98119,              0.0077725,              0.0077725,              0.0077725
